NEA_GrantNumber,NEA_FiscalYear,NEA_Office,NEA_Grantee,NEA_GranteeWebsite,NEA_GranteeAddressLine1,NEA_GranteeAddressLine2,NEA_GranteeCity,NEA_GranteeState,NEA_GranteeZipcode,NEA_GranteeLatitude,NEA_GranteeLongitude
11-3100-7019,2011,Music,Monadnock Music,www.monadnockmusic.org,2A Concord Street,,Peterborough,NH,03458-1511,42.877557,-71.94792
11-5200-7060,2011,Literature,"Boston Critic, Inc. (aka: Boston Review)",www.bostonreview.net,"30 Wadsworth Street, E53-416",,Cambridge,MA,02142-1320,42.360956,-71.084276
11-3100-7020,2011,Music,Kronos Performing Arts Association (aka: KRONOS QUARTET),www.kronosquartet.org,1242 Ninth Avenue,,San Francisco,CA,94122-2307,37.765058,-122.466364
11-4100-7005,2011,Visual Arts,Project Row Houses,,2521 Holman St,,Houston,TX,77004-4247,29.731762,-95.365129
11-5400-7008,2011,Presenting,"Dance Theatre Etcetera, Inc. (aka: DTE)",www.dtetc.org,480 Van Brunt Street,Suite 203,Brooklyn,NY,11231-1014,40.674498,-74.016265
11-3600-7006,2011,Opera,Cedar Rapids Opera Theatre,,1120 Second Avenue SE,,Cedar Rapids,IA,52403-2406,41.983725,-91.657553
11-5400-7009,2011,Presenting,"Anchorage Concert Association, Inc. (aka: ACA)",www.anchorageconcerts.org,430 W 7th Ave #200,,Anchorage,AK,99501-3550,61.215581,-149.890105
11-3400-7009,2011,Media Arts,"Electronic Arts Intermix, Inc. (aka: EAI)",www.eai.org,535 West 22nd Street,5th Floor,New York,NY,10011-1119,40.74751,-74.005814
11-5200-7061,2011,Literature,Orion Society (aka: Orion Magazine),www.orionmagazine.org,187 Main Street,,Great Barrington,MA,01230-1602,42.197513,-73.361116
11-3600-7007,2011,Opera,San Francisco Opera Association (aka: San Francisco Opera),www.sfopera.com,301 Van Ness Avenue,,San Francisco,CA,94102-4509,37.778273,-122.419992
11-3600-7008,2011,Opera,San Diego Opera Association (aka: San Diego Opera),www.sdopera.com,"1200 Third Avenue, 18th Floor",,San Diego,CA,92101-4112,32.7179,-117.162032
11-3300-7014,2011,Dance,Dance Saint Louis (aka: Dance St. Louis),www.dancestlouis.org,3547 Olive Street,#301,St. Louis,MO,63103-1014,38.637634,-90.230967
11-4100-7006,2011,Visual Arts,Pilchuck Glass School (aka: Pilchuck),,430 Yale Avenue North,,Seattle,WA,98109-5431,47.622376,-122.33042
11-5500-7008,2011,Folk & Traditional Arts,Northwest Native American Basketweavers Association (aka: NNABA),www.nnaba.org,P.O. Box 7185,,Covington,WA,98042-0041,47.360108,-122.113897
11-5200-7062,2011,Literature,University of Massachusetts at Amherst,www.jubilat.org,Grant & Contract Admin.,70 Butterfield Terrace,Amherst,MA,01003-9242,42.390459,-72.525149
11-4200-7002,2011,Design,"Next American City, Inc.",www.americancity.org,2816 W. Girard Avenue,,Philadelphia,PA,19130-1215,39.974365,-75.182237
11-5200-7063,2011,Literature,New York University School of Medicine,www.med.nyu.edu,550 First Ave.,Sponsored Programs Admin.,New York,NY,10016-6481,40.742991,-73.974134
11-3100-7021,2011,Music,International Music Foundation,www.imfchicago.org,30 East Adams Street,Suite 1206,Chicago,IL,60603-5693,41.879515,-87.626537
11-4100-7007,2011,Visual Arts,"Wheaton Arts and Cultural Center, Inc. (aka: WheatonArts)",www.wheatonarts.org,1501 Glasstown Road,,Millville,NJ,08332-1566,39.408087,-75.02241
11-3300-7015,2011,Dance,STEPOLOGY,www.stepology.com,P. O. Box 420889,,San Francisco,CA,94142-0889,37.766752,-122.410576
11-5500-7009,2011,Folk & Traditional Arts,"Jubilee Community Arts, Inc. (aka: The Laurel Theater)",jubileearts.org,1538 Laurel Ave,,Knoxville,TN,37916-2016,35.959992,-83.930444
11-7200-7009,2011,Artist Communities,Art Students League of New York Inc,www.theartstudentsleague.org,215 West 57th Street,,New York,NY,10019-2104,40.765917,-73.98093
11-3100-7022,2011,Music,"Heifetz International Music Institute, Inc.",www.heifetzinstitute.org,P.O. Box 2447,,Staunton,VA,24402-2447,38.162403,-79.067303
11-5400-7010,2011,Presenting,ARCH Development Corporation (aka: ARCH),,1227 Good Hope Road SE,,Washington,DC,20020-6907,38.867305,-76.988151
11-5200-7064,2011,Literature,"Teachers and Writers Collaborative (aka: Teachers & Writers Collaborative, T&W)",www.twc.org,520 Eighth Avenue,Suite 2020,New York,NY,10018-6507,40.753503,-73.992495
